BÁO CÁO SAO KÊ LỊCH SỬ TỒN KHO
Kỳ báo cáo,"Theo tháng"
Thời gian xuất,"22/09/2026 18:28:36"
Số giao dịch,105
Tổng tăng,1359
Tổng giảm,15
Chênh lệch ròng,1344

Mã LS,Mã biến thể,Sản phẩm,SKU,Size,Màu,Thay đổi,Loại,Mã TK,Người thực hiện,Vai trò,Thời gian
"76","365","Bộ quần áo ĐTQG Anh màu trắng 2026 ENG26","SP00049-SZ03-MA04","XL","Trắng","20","Nhập hàng","1","duypham","Admin","21/09/2026 22:30:59"
"75","362","Bộ quần áo đội tuyển Đức Euro 2024 màu trắng / đen","SP00056-SZ04-MA04","S","Trắng","20","Nhập hàng","1","duypham","Admin","21/09/2026 22:30:59"
"74","360","Bộ quần áo ĐTQG Anh màu trắng 2026 ENG26","SP00049-SZ04-MA04","S","Trắng","20","Nhập hàng","1","duypham","Admin","21/09/2026 22:30:59"
"73","342","Giày thể thao Adidas","SP00025-SZ11-MA04","41","Trắng","10","Nhập hàng","1","duypham","Admin","21/09/2026 22:30:59"
"72","330","Jogarbola Kumo TF màu hồng","SP00030-SZ09-MA02","39","Hồng","19","Nhập hàng","1","duypham","Admin","21/09/2026 22:30:59"
"71","327","Nike Tiempo Ligera Pro FG","SP00005-SZ10-MA02","40","Hồng","21","Nhập hàng","1","duypham","Admin","21/09/2026 22:30:59"
"70","312","Jogarbola Kumo TF màu hồng","SP00030-SZ12-MA02","42","Hồng","21","Nhập hàng","1","duypham","Admin","21/09/2026 22:30:59"
"69","285","Adidas Predator League FT TF màu đỏ/trắng Chaos vs Control IH7213","SP00044-SZ14-MA03","44","Đỏ","1","Nhập hàng","1","duypham","Admin","21/09/2026 22:30:59"
"68","283","Adidas Hyperfast Pro LL TF trắng/đỏ Chaos vs Control KK1043","SP00037-SZ15-MA03","45","Đỏ","1","Nhập hàng","1","duypham","Admin","21/09/2026 22:30:59"
"67","280","Bộ quần áo bóng đá CLB Manchester United màu đỏ","SP00048-SZ02-MA03","L","Đỏ","1","Nhập hàng","1","duypham","Admin","21/09/2026 22:30:59"
"66","275","Bộ quần áo bóng đá CLB Manchester United màu đỏ","SP00048-SZ01-MA03","M","Đỏ","10","Nhập hàng","1","duypham","Admin","21/09/2026 22:30:59"
"65","274","Bộ quần áo CLB Arsenal màu đỏ trắng ARS26","SP00047-SZ01-MA03","M","Đỏ","20","Nhập hàng","1","duypham","Admin","21/09/2026 22:30:59"
"64","273","Bộ quần áo bóng đá Kelme 2026 V2 series màu đỏ 8651 ZB12490-600","SP00060-SZ02-MA03","L","Đỏ","19","Nhập hàng","1","duypham","Admin","21/09/2026 22:30:59"
"63","271","Bộ quần áo bóng đá CLB Liverpool màu đỏ 2025-2026","SP00054-SZ02-MA03","L","Đỏ","11","Nhập hàng","1","duypham","Admin","21/09/2026 22:30:59"
"62","263","Bộ quần áo bóng đá CLB Barcelona màu xanh đỏ","SP00055-SZ03-MA03","XL","Đỏ","10","Nhập hàng","1","duypham","Admin","21/09/2026 22:30:59"
"61","260","Bộ quần áo bóng đá CLB Manchester United màu đỏ","SP00048-SZ03-MA03","XL","Đỏ","10","Nhập hàng","1","duypham","Admin","21/09/2026 22:30:59"
"60","259","Bộ quần áo CLB Arsenal màu đỏ trắng ARS26","SP00047-SZ03-MA03","XL","Đỏ","21","Nhập hàng","1","duypham","Admin","21/09/2026 22:30:59"
"59","258","Bộ quần áo bóng đá Kelme 2026 V2 series màu đỏ 8651 ZB12490-600","SP00060-SZ04-MA03","S","Đỏ","15","Nhập hàng","1","duypham","Admin","21/09/2026 22:30:59"
"58","257","Bộ quần áo bóng đá CLB Manchester United màu đỏ","SP00048-SZ05-MA03","XXL","Đỏ","10","Nhập hàng","1","duypham","Admin","21/09/2026 22:30:59"
"57","255","Bộ quần áo bóng đá Kelme 2026 V2 series màu đỏ 8651 ZB12490-600","SP00060-SZ03-MA03","XL","Đỏ","19","Nhập hàng","1","duypham","Admin","21/09/2026 22:30:59"
"56","253","Bộ quần áo bóng đá CLB Barcelona màu xanh đỏ","SP00055-SZ05-MA03","XXL","Đỏ","10","Nhập hàng","1","duypham","Admin","21/09/2026 22:30:59"
"55","249","Adidas Hyperfast Pro LL TF trắng/đỏ Chaos vs Control KK1043","SP00037-SZ14-MA03","44","Đỏ","10","Nhập hàng","1","duypham","Admin","21/09/2026 22:30:59"
"54","248","Giày Nike Air Zoom Fly 6","SP00031-SZ13-MA03","43","Đỏ","1","Nhập hàng","1","duypham","Admin","21/09/2026 22:30:59"
"53","247","Adidas Hyperfast Pro LL TF trắng/đỏ Chaos vs Control KK1043","SP00037-SZ13-MA03","43","Đỏ","1","Nhập hàng","1","duypham","Admin","21/09/2026 22:30:59"
"52","243","Giày Nike Air Zoom Fly 6","SP00031-SZ12-MA03","42","Đỏ","1","Nhập hàng","1","duypham","Admin","21/09/2026 22:30:59"
"51","230","Giày thể thao Nike","SP00010-SZ09-MA01","39","Đen","19","Nhập hàng","1","duypham","Admin","21/09/2026 22:30:59"
"50","229","Giày thể thao","SP00027-SZ09-MA01","39","Đen","10","Nhập hàng","1","duypham","Admin","21/09/2026 22:30:59"
"49","211","Giày thể thao","SP00027-SZ11-MA01","41","Đen","10","Nhập hàng","1","duypham","Admin","21/09/2026 22:30:59"
"48","208","Giày thể thao","SP00027-SZ12-MA01","42","Đen","10","Nhập hàng","1","duypham","Admin","21/09/2026 22:30:59"
"47","206","Giày Nike Air Zoom Fly 6 Bright Crimson FN8454-601","SP00039-SZ12-MA01","42","Đen","1","Nhập hàng","1","duypham","Admin","21/09/2026 22:30:59"
"46","203","Adidas F50 Hyperfast League TF màu đen/blue KJ3436","SP00035-SZ12-MA01","42","Đen","18","Nhập hàng","1","duypham","Admin","21/09/2026 22:30:59"
"45","201","Giày thể thao","SP00027-SZ13-MA01","43","Đen","10","Nhập hàng","1","duypham","Admin","21/09/2026 22:30:59"
"44","200","Kelme V-Mach 3.0.3 TF Light Green 8621ZX1425-305","SP00040-SZ13-MA01","43","Đen","29","Nhập hàng","1","duypham","Admin","21/09/2026 22:30:59"
"43","199","Giày Nike Air Zoom Fly 6 Bright Crimson FN8454-601","SP00039-SZ13-MA01","43","Đen","1","Nhập hàng","1","duypham","Admin","21/09/2026 22:30:59"
"42","197","Nike Tiempo Ligera Pro Heritage","SP00028-SZ13-MA01","43","Đen","22","Nhập hàng","1","duypham","Admin","21/09/2026 22:30:59"
"41","194","Nike Tiempo Ligera Pro Heritage","SP00036-SZ14-MA01","44","Đen","22","Nhập hàng","1","duypham","Admin","21/09/2026 22:30:59"
"40","192","Adidas F50 Hyperfast League TF màu đen/blue KJ3436","SP00035-SZ14-MA01","44","Đen","15","Nhập hàng","1","duypham","Admin","21/09/2026 22:30:59"
"39","189","Giày thể thao","SP00027-SZ14-MA01","44","Đen","10","Nhập hàng","1","duypham","Admin","21/09/2026 22:30:59"
"38","188","Bộ quần áo ĐTQG Bồ Đào Nha màu POR26J","SP00051-SZ05-MA01","XXL","Đen","20","Nhập hàng","1","duypham","Admin","21/09/2026 22:30:59"
"37","187","Bộ quần áo ĐTQG Bồ Đào Nha màu POR26J","SP00051-SZ03-MA01","XL","Đen","20","Nhập hàng","1","duypham","Admin","21/09/2026 22:30:59"
"36","183","Chai xịt nóng hỗ trợ khởi động Ligpro 200ml","SP00023-SZ28-MA01","Free Size","Đen","20","Nhập hàng","1","duypham","Admin","21/09/2026 22:30:59"
"35","181","Hộp Cầu Lông Chuyên Dụng","SP00020-SZ28-MA01","Free Size","Đen","29","Nhập hàng","1","duypham","Admin","21/09/2026 22:30:59"
"34","180","Balo thể thao Kelme Basic 22L 9876004-010","SP00016-SZ28-MA01","Free Size","Đen","10","Nhập hàng","1","duypham","Admin","21/09/2026 22:30:59"
"33","177","Găng tay thủ môn Nike Grip 3 màu vàng đen GK Gloves HQ0256-702","SP00011-SZ28-MA01","Free Size","Đen","20","Nhập hàng","1","duypham","Admin","21/09/2026 22:30:59"
"32","171","Kelme V-Mach 3.0.3 TF Light Green 8621ZX1425-305","SP00040-SZ14-MA01","44","Đen","10","Nhập hàng","1","duypham","Admin","21/09/2026 22:30:59"
"31","166","Giày thể thao","SP00027-SZ15-MA01","45","Đen","10","Nhập hàng","1","duypham","Admin","21/09/2026 22:30:59"
"30","165","Giày Nike Air Zoom","SP00026-SZ15-MA14","45","Cam","1","Nhập hàng","1","duypham","Admin","21/09/2026 22:30:59"
"29","164","Giày Nike Air Zoom","SP00026-SZ14-MA14","44","Cam","1","Nhập hàng","1","duypham","Admin","21/09/2026 22:30:59"
"28","162","Giày Nike Air Zoom","SP00026-SZ12-MA14","42","Cam","19","Nhập hàng","1","duypham","Admin","21/09/2026 22:30:59"
"27","161","Giày Nike Air Zoom","SP00026-SZ11-MA14","41","Cam","1","Nhập hàng","1","duypham","Admin","21/09/2026 22:30:59"
"26","160","Giày Nike Air Zoom","SP00026-SZ10-MA14","40","Cam","1","Nhập hàng","1","duypham","Admin","21/09/2026 22:30:59"
"25","159","Giày Nike Air Zoom","SP00026-SZ09-MA14","39","Cam","20","Nhập hàng","1","duypham","Admin","21/09/2026 22:30:59"
"24","33","Nike Tiempo Ligera Pro FG","SP10-40","40","Đen","19","Nhập hàng","1","duypham","Admin","21/09/2026 22:30:59"
"23","18","Giày thể thao Nike","SP01-39","39","Đen","20","Nhập hàng","1","duypham","Admin","21/09/2026 22:30:59"
"22","16","Nike Tiempo Ligera","8936728599","42.5","Đen","21","Nhập hàng","1","duypham","Admin","21/09/2026 22:30:59"
"21","15","Nike Tiempo Ligera","8936728594","39.5","Đen","19","Nhập hàng","1","duypham","Admin","21/09/2026 22:30:59"
"20","14","Nike Tiempo Ligera","8936728593","38.5","Đen","19","Nhập hàng","1","duypham","Admin","21/09/2026 22:30:59"
"19","13","Adidas F50 Hyperfast League","8935827484","41.5","Đen","20","Nhập hàng","1","duypham","Admin","21/09/2026 22:30:59"
"18","12","Adidas F50 Hyperfast League","8935827483","40.5","Đen","10","Nhập hàng","1","duypham","Admin","21/09/2026 22:30:59"
"17","11","Adidas F50 Hyperfast League","8935827482","38.5","Đen","10","Nhập hàng","1","duypham","Admin","21/09/2026 22:30:59"
"16","5","Nike Tiempo Ligera Pro FG","896357468532","40.5","Đen","22","Nhập hàng","1","duypham","Admin","21/09/2026 22:30:59"
"15","2","Áo Polo Thể Thao SportShop","8935728482","M","Hồng","10","Nhập hàng","1","duypham","Admin","21/09/2026 22:30:59"
"14","1","Áo thể thao Nike Test","NIKE-TEST-M-DEN","M","Đen","10","Nhập hàng","1","duypham","Admin","21/09/2026 22:30:59"
"13","177","Găng tay thủ môn Nike Grip 3 màu vàng đen GK Gloves HQ0256-702","SP00011-SZ28-MA01","Free Size","Đen","-1","Bán hàng","7","PeMinh2k5","Nhân viên bán hàng","21/09/2026 17:31:31"
"12","1","Áo thể thao Nike Test","NIKE-TEST-M-DEN","M","Đen","-1","Bán hàng","7","PeMinh2k5","Nhân viên bán hàng","21/09/2026 02:59:44"
"11","13","Adidas F50 Hyperfast League","8935827484","41.5","Đen","1","Nhập hàng","1","duypham","Admin","18/09/2026 08:35:14"
"10","11","Adidas F50 Hyperfast League","8935827482","38.5","Đen","2","Nhập hàng","1","duypham","Admin","18/09/2026 08:35:14"
"9","14","Nike Tiempo Ligera","8936728593","38.5","Đen","2","Nhập hàng","1","duypham","Admin","18/09/2026 01:04:11"
"8","1","Áo thể thao Nike Test","NIKE-TEST-M-DEN","M","Đen","1","Nhập hàng","1","duypham","Admin","18/09/2026 01:04:11"
"7","14","Nike Tiempo Ligera","8936728593","38.5","Đen","7","Nhập hàng","1","duypham","Admin","16/09/2026 09:07:17"
"6","6","Nike Tiempo Ligera Pro FG","896357468533","41.5","Đen","5","Nhập hàng","1","duypham","Admin","11/09/2026 19:57:14"
"5","1","Áo thể thao Nike Test","NIKE-TEST-M-DEN","M","Đen","11","Nhập hàng","1","duypham","Admin","11/09/2026 09:04:14"
"4","3","Áo Cộc Thể Thao Cực Hạn Thời Thượng","8963486565","XL","Đen","12","Nhập hàng","1","duypham","Admin","11/09/2026 09:04:07"
"3","1","Áo thể thao Nike Test","NIKE-TEST-M-DEN","M","Đen","51","Nhập hàng","1","duypham","Admin","07/09/2026 02:37:07"
"2","1","Áo thể thao Nike Test","NIKE-TEST-M-DEN","M","Đen","10","Nhập hàng","1","duypham","Admin","03/09/2026 07:39:20"
